id,district,area_sqm,bedrooms,living_rooms,bathrooms,floor,total_floors,has_elevator,building_age_years,orientation,decoration,property_type,developer,subway_line,subway_distance_m,school_district_tier,west_lake_distance_m,green_ratio,parking_ratio,management_fee_yuan_per_sqm,listing_date,listing_duration_days,price_adjustments_count,unit_price_yuan_per_sqm,total_price_wan
478,富阳区,118,4,3,3,29,33,1,18,,豪华 (Luxury),住宅 (Residential),滨江 (Binjiang),Line 2,760,C,14381,,1.07,,3/4/2023,846,0,24880,293.58
479,临平区,73.8,3,1,3,17,18,1,,West,简装 (Simple),住宅 (Residential),绿城 (Greentown),Line 3,3501,B,27414,0.35,0.5,,6/9/2024,353,1,31085,229.41
480,富阳区,106.4,3,1,3,19,33,1,17,South,毛坯 (Rough),别墅 (Villa),,Line 7,362,A,4313,0.4,,5.44,9/12/2023,592,1,34464,366.7
481,上城区,110.7,4,2,4,12,26,1,13,,简装 (Simple),商住两用 (Mixed),中海 (COHL),,1834,B,8735,0.33,0.54,7.46,10/14/2023,556,0,42424,469.63
482,上城区,92.5,3,1,2,7,33,1,32,Southwest,简装 (Simple),住宅 (Residential),保利 (Poly),Line 10,,B,21484,0.44,1.17,,2/9/2024,435,1,36476,337.4
483,临平区,138.2,4,1,3,6,33,1,10,,简装 (Simple),住宅 (Residential),滨江 (Binjiang),Line 6,2759,B,22178,,,4,7/12/2023,636,0,26627,367.99
484,临平区,55.8,1,1,1,26,33,1,0,West,毛坯 (Rough),公寓 (Apartment),本地开发商 (Local),Line 7,3634,,24772,0.45,1.2,3.41,3/27/2023,769,0,18076,100.86
485,临安区,137.4,4,1,4,7,33,1,12,Northeast,豪华 (Luxury),公寓 (Apartment),滨江 (Binjiang),Line 19,2060,A,7133,0.35,0.51,3.86,10/1/2023,627,1,21186,291.1
486,上城区,133,3,2,2,5,11,1,3,North,精装 (Fine),住宅 (Residential),,,508,A,7060,,0.58,5.95,4/26/2023,767,0,84791,1127.72
487,西湖区,62.5,2,1,1,19,33,1,13,,精装 (Fine),住宅 (Residential),融创 (Sunac),Line 9,332,,,,,4.24,11/14/2024,224,0,54391,339.94
488,萧山区,146.3,4,1,4,8,11,1,17,South,,住宅 (Residential),中海 (COHL),,2938,C,2393,0.33,0.57,3.28,5/4/2024,339,0,31538,461.4
489,临平区,97,2,3,2,3,18,1,11,Southeast,,住宅 (Residential),中海 (COHL),Line 2,2518,B,19065,0.34,,,1/28/2024,481,1,21874,212.18
490,富阳区,86.7,2,1,2,8,18,1,12,Northeast,精装 (Fine),住宅 (Residential),万科 (Vanke),Line 9,629,C,18817,,0.86,2.57,5/17/2023,698,0,20884,181.06
491,余杭区,140.1,5,1,4,9,33,1,11,East,豪华 (Luxury),住宅 (Residential),绿城 (Greentown),Line 2,4841,,,,,7.79,1/27/2023,883,,31487,441.13
492,余杭区,103.1,3,1,2,10,11,1,0,South,毛坯 (Rough),住宅 (Residential),本地开发商 (Local),Line 19,4386,A,8599,0.45,0.77,6.92,6/24/2024,369,,41400,426.83
493,钱塘区,161,5,1,4,1,18,1,5,Southeast,,公寓 (Apartment),华润 (CR Land),Line 2,4809,A,16895,,1.42,,8/8/2024,299,0,26258,422.75
494,滨江区,144.3,5,1,4,2,11,1,7,North,简装 (Simple),公寓 (Apartment),融创 (Sunac),,265,B,22190,,,4.07,11/17/2023,583,1,52029,750.78
495,临平区,83.3,3,1,3,28,33,1,0,South,简装 (Simple),住宅 (Residential),万科 (Vanke),Line 2,323,C,21426,0.32,,2.17,7/18/2024,281,1,29323,244.26
496,上城区,69.8,1,1,1,5,6,1,8,South,精装 (Fine),住宅 (Residential),保利 (Poly),Line 16,493,B,,,,2.25,5/13/2023,777,2,65190,455.03
497,余杭区,98,3,1,3,4,26,1,8,,毛坯 (Rough),住宅 (Residential),华润 (CR Land),Line 16,433,,24496,0.26,1.05,,8/26/2023,610,3,24598,241.06
498,拱墅区,116.9,3,2,3,9,11,1,7,Northwest,简装 (Simple),住宅 (Residential),本地开发商 (Local),Line 16,4684,,7223,0.43,,4.66,2/1/2024,454,0,42463,496.39
499,临安区,122.7,3,2,2,32,33,1,2,Northwest,豪华 (Luxury),住宅 (Residential),龙湖 (Longfor),Line 1,3195,B,,0.36,1.15,6.4,8/13/2024,276,0,24833,304.7
500,西湖区,120.5,4,1,3,9,26,1,,,,住宅 (Residential),保利 (Poly),,4891,C,,0.27,0.77,4.7,11/27/2024,140,1,67757,816.47
501,富阳区,84,2,2,2,24,33,1,4,South,,住宅 (Residential),本地开发商 (Local),Line 6,1322,,,0.43,0.91,2.44,4/18/2023,750,0,19937,167.47
502,临安区,114.2,3,1,2,4,6,1,25,South,简装 (Simple),住宅 (Residential),,Line 5,511,C,28147,0.36,0.78,3.77,3/8/2023,794,0,12553,143.36
503,临安区,142.2,4,1,3,16,26,1,0,North,精装 (Fine),商住两用 (Mixed),本地开发商 (Local),Line 6,1342,,4020,0.39,,6.24,4/29/2024,363,0,23226,330.27
504,上城区,83.1,3,3,2,9,26,1,6,,精装 (Fine),住宅 (Residential),绿城 (Greentown),Line 3,302,B,2106,,1,1.9,3/14/2024,425,,71753,596.27
505,萧山区,124.3,4,1,3,14,18,1,9,,精装 (Fine),公寓 (Apartment),融创 (Sunac),Line 7,2650,,28961,,1.25,3.56,8/15/2024,306,0,31981,397.52
506,余杭区,29.3,1,1,1,10,33,1,5,Northeast,,商住两用 (Mixed),本地开发商 (Local),Line 4,4544,C,9800,0.37,0.9,5.9,2/7/2023,810,2,19579,57.37
507,滨江区,112.2,3,1,2,6,18,1,21,,,住宅 (Residential),,Line 3,260,B,11069,0.39,,3.26,5/26/2024,392,,47951,538.01
508,临平区,131.4,3,1,2,18,18,1,6,West,精装 (Fine),住宅 (Residential),龙湖 (Longfor),,1135,,16256,0.34,0.55,2.74,10/11/2024,207,2,27672,363.61
509,西湖区,87,3,3,2,7,33,1,2,Southwest,精装 (Fine),住宅 (Residential),融创 (Sunac),Line 1,,A,26043,,1.08,,8/5/2023,632,2,71235,619.74
510,富阳区,35.2,1,1,1,8,11,1,,Southwest,豪华 (Luxury),住宅 (Residential),,Line 5,2391,C,,,1.37,6.47,11/5/2024,179,0,21885,77.04
511,临平区,105.2,4,2,3,4,6,0,4,East,简装 (Simple),住宅 (Residential),龙湖 (Longfor),Line 16,3723,C,25605,0.41,1.27,7.82,2/7/2024,424,3,22786,239.71
512,临安区,82.1,3,1,3,25,33,1,,South,豪华 (Luxury),住宅 (Residential),中海 (COHL),Line 3,,C,21688,,,7.39,9/24/2023,624,0,19065,156.52
513,余杭区,67.1,2,1,2,4,6,1,2,Southwest,毛坯 (Rough),公寓 (Apartment),,Line 2,1330,C,,0.29,,4.3,10/30/2024,180,0,24715,165.84
514,富阳区,85.2,2,2,2,26,26,1,34,Southwest,精装 (Fine),住宅 (Residential),万科 (Vanke),Line 16,4386,B,,0.36,0.86,6.75,10/17/2023,564,3,13734,117.01
515,西湖区,139.3,3,1,3,14,33,1,10,South,精装 (Fine),住宅 (Residential),滨江 (Binjiang),Line 7,181,A,,,,6.9,1/11/2023,832,2,79679,1109.93
516,临安区,162.9,4,2,4,6,11,1,,Northeast,,住宅 (Residential),万科 (Vanke),Line 7,820,C,4186,0.35,1.03,4.11,1/9/2024,461,3,28763,468.55
517,上城区,131.5,3,1,3,3,11,1,14,East,精装 (Fine),住宅 (Residential),融创 (Sunac),Line 7,,B,21634,0.32,1.11,3.99,12/4/2024,152,,47314,622.18
518,西湖区,133.2,3,1,2,10,26,1,3,Southwest,简装 (Simple),住宅 (Residential),万科 (Vanke),Line 3,1667,C,10104,0.34,0.72,2.35,10/9/2024,181,1,65072,866.76
519,上城区,59.6,2,3,1,14,18,1,7,South,简装 (Simple),住宅 (Residential),本地开发商 (Local),Line 19,664,,7287,0.32,0.59,7.75,1/16/2024,458,2,49224,293.38
520,西湖区,88.7,3,1,2,23,26,1,14,West,精装 (Fine),住宅 (Residential),万科 (Vanke),Line 6,3496,,26378,0.34,0.64,,11/18/2024,142,1,54196,480.72
521,临平区,115.1,3,2,2,11,18,1,1,South,,住宅 (Residential),中海 (COHL),Line 1,892,A,9114,0.39,0.61,4.87,8/12/2024,231,,40188,462.56
522,萧山区,52.6,2,1,1,3,33,1,20,South,豪华 (Luxury),公寓 (Apartment),滨江 (Binjiang),,474,C,1532,,0.66,2.57,11/17/2023,563,1,29148,153.32
523,临平区,126.9,3,1,3,32,33,1,29,South,毛坯 (Rough),住宅 (Residential),万科 (Vanke),,107,B,29925,0.37,1.31,2.52,6/24/2023,657,0,21746,275.96
524,余杭区,58.1,1,2,1,1,18,1,,,毛坯 (Rough),住宅 (Residential),中海 (COHL),Line 19,487,,6209,,1.31,7.03,5/22/2023,753,1,28358,164.76
525,拱墅区,139.6,4,1,4,10,11,1,19,,精装 (Fine),公寓 (Apartment),,,1282,C,8615,0.36,,2.22,9/28/2023,587,2,38623,539.18
526,余杭区,88.3,2,1,2,14,33,1,24,Southeast,精装 (Fine),住宅 (Residential),保利 (Poly),Line 1,1416,B,16853,,,6.67,11/17/2023,539,2,20458,180.64
527,拱墅区,56.6,2,2,2,3,11,1,1,Northwest,简装 (Simple),住宅 (Residential),绿城 (Greentown),Line 5,,,23897,0.44,,,5/31/2023,729,3,37422,211.81
528,西湖区,74.5,3,1,2,12,33,1,12,Southeast,精装 (Fine),住宅 (Residential),保利 (Poly),Line 6,1408,B,6185,0.38,0.79,5.31,1/14/2024,454,0,53215,396.45
529,临平区,150.8,5,2,4,10,18,1,0,South,毛坯 (Rough),住宅 (Residential),万科 (Vanke),Line 3,346,C,14240,0.39,,2.2,9/2/2023,584,1,38881,586.33
530,萧山区,155.7,4,1,4,23,26,1,11,Southeast,简装 (Simple),住宅 (Residential),中海 (COHL),Line 5,258,,23358,0.33,0.68,5.26,7/9/2023,695,,36595,569.78
531,临安区,95.1,2,1,1,8,18,1,4,,精装 (Fine),住宅 (Residential),,Line 10,414,B,29381,,,6.49,1/10/2023,887,0,23105,219.73
532,钱塘区,72.8,2,1,2,8,18,1,10,North,精装 (Fine),公寓 (Apartment),本地开发商 (Local),Line 1,144,C,4354,0.35,,6.93,5/17/2024,362,,23672,172.33
533,萧山区,91.3,2,2,2,15,18,1,1,,,住宅 (Residential),万科 (Vanke),Line 5,1752,,26091,0.38,,6.47,2/25/2024,428,2,37280,340.37
534,拱墅区,48.3,2,1,1,5,6,1,26,Southwest,,别墅 (Villa),华润 (CR Land),Line 5,2662,B,,,0.67,,6/23/2024,303,0,33181,160.26
535,余杭区,102.5,2,2,2,14,18,1,,Northwest,毛坯 (Rough),公寓 (Apartment),融创 (Sunac),Line 4,439,C,13144,,0.78,6.19,1/9/2023,875,,34980,358.55
536,拱墅区,108.4,3,1,3,5,11,1,33,South,毛坯 (Rough),住宅 (Residential),中海 (COHL),Line 10,576,B,10244,0.33,1.26,3.49,11/7/2024,144,0,34606,375.13
537,拱墅区,128.3,4,1,4,17,18,1,27,,简装 (Simple),住宅 (Residential),万科 (Vanke),Line 16,350,A,9593,0.34,0.95,1.55,11/25/2024,207,0,54479,698.97
538,临平区,78.1,3,3,2,3,6,1,,South,豪华 (Luxury),住宅 (Residential),龙湖 (Longfor),Line 3,806,,21595,0.38,0.8,2.32,10/5/2024,236,1,30983,241.98
539,临平区,80.6,3,2,2,7,33,1,3,Southeast,精装 (Fine),住宅 (Residential),龙湖 (Longfor),Line 6,729,,27323,0.34,1.25,,3/7/2024,400,2,26920,216.98
540,临安区,100.8,3,2,2,19,26,1,6,Northeast,精装 (Fine),住宅 (Residential),万科 (Vanke),Line 2,560,C,9389,,,3.77,2/25/2023,775,0,19603,197.6
541,西湖区,64.9,2,1,2,3,6,1,6,Northeast,精装 (Fine),住宅 (Residential),融创 (Sunac),Line 19,109,C,25928,,1.33,,10/17/2024,184,0,59951,389.08
542,萧山区,51.6,1,2,1,32,33,1,26,Southeast,简装 (Simple),住宅 (Residential),万科 (Vanke),,257,B,,0.31,0.69,,11/4/2023,564,1,20734,106.99
543,拱墅区,81.6,3,2,2,17,33,1,31,Southwest,简装 (Simple),公寓 (Apartment),中海 (COHL),Line 10,4973,C,10652,0.37,,1.76,5/2/2024,394,0,24004,195.87
544,西湖区,94,3,3,2,9,18,1,14,South,精装 (Fine),住宅 (Residential),万科 (Vanke),Line 10,247,C,29037,0.34,1.04,,9/26/2024,242,0,57207,537.75
545,余杭区,77.8,3,3,2,15,18,1,13,West,精装 (Fine),住宅 (Residential),万科 (Vanke),,851,,20055,0.42,0.8,4.54,12/14/2023,531,2,30767,239.37
546,拱墅区,85.2,3,1,2,10,26,1,,Southwest,简装 (Simple),公寓 (Apartment),融创 (Sunac),Line 1,4490,C,,0.28,1.1,1.72,8/25/2024,292,0,31651,269.67
547,临安区,52.4,1,2,1,1,6,0,18,Northeast,,公寓 (Apartment),华润 (CR Land),,497,,11344,0.26,,7.18,1/29/2024,480,,8989,47.1
548,上城区,88.9,3,2,3,2,11,1,6,South,精装 (Fine),住宅 (Residential),中海 (COHL),Line 5,1248,A,9330,0.31,0.59,2.09,11/26/2024,161,0,62567,556.22
549,拱墅区,102.9,2,1,1,7,18,1,3,South,毛坯 (Rough),公寓 (Apartment),融创 (Sunac),Line 1,,A,1242,,1.5,7.98,10/19/2024,230,1,57971,596.52
550,滨江区,74.3,2,1,2,12,18,1,14,Southwest,豪华 (Luxury),住宅 (Residential),绿城 (Greentown),,4215,,24966,0.27,1.19,2.53,2/22/2023,844,1,38985,289.66
551,上城区,71.5,2,1,1,17,33,1,11,Southeast,简装 (Simple),住宅 (Residential),中海 (COHL),Line 5,3335,B,8554,0.4,0.57,4.61,4/24/2023,781,1,48478,346.62
552,萧山区,113.6,4,2,4,4,6,1,13,,精装 (Fine),别墅 (Villa),滨江 (Binjiang),Line 16,364,C,22638,0.3,,,12/20/2024,105,0,49673,564.29
553,西湖区,67.6,1,2,1,20,26,1,,South,精装 (Fine),住宅 (Residential),保利 (Poly),,911,A,14287,0.37,,,8/22/2023,589,,81338,549.84
554,上城区,62.7,2,2,2,25,33,1,33,Northeast,精装 (Fine),住宅 (Residential),绿城 (Greentown),Line 16,1491,A,23147,0.31,,,1/12/2024,489,0,46188,289.6
555,临平区,133.3,4,2,3,2,11,1,12,Southwest,,住宅 (Residential),华润 (CR Land),Line 3,2796,,15692,,0.99,4.61,7/4/2023,672,0,19827,264.29
556,余杭区,49.3,1,2,1,19,33,1,1,,简装 (Simple),公寓 (Apartment),本地开发商 (Local),Line 5,4717,C,2217,,,2.35,11/6/2023,557,2,24755,122.04
557,萧山区,89.8,3,2,2,5,11,1,10,,精装 (Fine),住宅 (Residential),,Line 7,276,B,27270,,1.26,4.23,7/20/2024,280,0,35644,320.08
558,拱墅区,108.8,3,1,2,8,11,1,31,East,精装 (Fine),公寓 (Apartment),万科 (Vanke),Line 6,343,C,1260,0.28,,7.32,1/27/2024,478,1,42204,459.18
559,滨江区,89.3,2,1,1,7,11,1,14,,豪华 (Luxury),住宅 (Residential),本地开发商 (Local),Line 10,286,,,0.28,,7.79,1/29/2023,835,2,46833,418.22
560,临安区,151.6,4,1,4,2,18,1,29,,精装 (Fine),住宅 (Residential),华润 (CR Land),Line 7,,,4180,,,,4/23/2024,372,0,14086,213.54
561,上城区,44.1,2,1,1,9,26,1,1,Southwest,精装 (Fine),公寓 (Apartment),本地开发商 (Local),Line 4,638,B,7480,,0.83,6.34,8/5/2024,322,0,43475,191.72
562,萧山区,25.4,1,2,1,1,18,1,8,North,毛坯 (Rough),商住两用 (Mixed),滨江 (Binjiang),Line 6,,C,14593,0.38,0.93,6.46,7/4/2023,669,2,16598,42.16
563,萧山区,97.6,2,1,2,8,18,1,30,South,精装 (Fine),别墅 (Villa),融创 (Sunac),Line 2,932,A,9212,0.27,,4.7,9/23/2023,587,0,42583,415.61
564,余杭区,93.4,2,1,2,2,6,0,13,West,豪华 (Luxury),住宅 (Residential),中海 (COHL),Line 6,919,B,7939,,1.21,4.62,1/4/2024,494,,26040,243.21
565,余杭区,56.7,2,1,1,2,33,1,0,Southwest,豪华 (Luxury),住宅 (Residential),本地开发商 (Local),Line 1,,,2921,0.31,1.37,3.01,8/9/2023,648,3,29718,168.5
566,上城区,42.8,1,2,1,11,11,1,2,Southwest,精装 (Fine),住宅 (Residential),华润 (CR Land),Line 1,,B,21678,,1.36,7.62,4/28/2024,421,1,57099,244.38
567,钱塘区,25,1,1,1,10,11,1,8,Southeast,精装 (Fine),住宅 (Residential),滨江 (Binjiang),Line 4,211,,8750,0.33,,2.3,12/27/2023,531,1,27211,68.03
568,余杭区,148.5,5,2,4,15,26,1,28,East,,公寓 (Apartment),华润 (CR Land),Line 3,2143,,,0.45,,2.78,5/1/2023,710,1,19053,282.94
569,富阳区,108.3,3,3,3,21,26,1,16,Southeast,豪华 (Luxury),公寓 (Apartment),龙湖 (Longfor),Line 3,267,C,8768,,,,1/25/2023,884,0,21630,234.25
570,西湖区,102.7,2,1,1,25,33,1,,South,豪华 (Luxury),别墅 (Villa),中海 (COHL),Line 5,506,C,15969,0.42,,5.52,12/30/2023,514,,95981,985.72
571,钱塘区,114.8,3,2,2,16,18,1,25,Southeast,,住宅 (Residential),中海 (COHL),Line 16,1622,C,13888,0.31,1.13,2.48,6/30/2023,705,2,19946,228.98
572,萧山区,111.5,3,2,3,3,6,0,8,East,精装 (Fine),公寓 (Apartment),,Line 7,715,C,,0.34,,,8/4/2023,660,1,18556,206.9
573,临安区,197.5,6,2,4,12,18,1,5,East,,商住两用 (Mixed),本地开发商 (Local),Line 2,259,C,,,1.15,2.47,7/31/2023,679,3,20269,400.31
574,拱墅区,140.5,5,1,4,13,33,1,1,Southwest,精装 (Fine),住宅 (Residential),本地开发商 (Local),Line 19,228,B,,0.43,0.71,2.98,5/3/2023,754,3,69848,981.36
575,钱塘区,72.1,3,1,3,18,33,1,28,Northeast,简装 (Simple),住宅 (Residential),滨江 (Binjiang),Line 2,916,A,17400,0.3,1.15,2.26,12/24/2024,185,0,20681,149.11
576,上城区,25,1,1,1,21,33,1,2,Southwest,简装 (Simple),住宅 (Residential),本地开发商 (Local),Line 7,3998,C,,,1.35,5.47,5/11/2024,347,2,45336,113.34
577,萧山区,132.5,4,1,3,3,26,1,,Southeast,简装 (Simple),住宅 (Residential),,Line 19,3872,A,2233,0.25,1.08,6.04,10/15/2024,211,1,48463,642.13
578,拱墅区,87.3,2,2,2,19,33,1,31,East,简装 (Simple),商住两用 (Mixed),,Line 7,1120,C,29425,,1.46,5.4,9/11/2023,651,1,25061,218.78
579,拱墅区,90.8,3,1,2,4,18,1,11,,精装 (Fine),公寓 (Apartment),万科 (Vanke),Line 5,195,,14019,0.35,,,2/23/2024,409,1,38600,350.49
580,余杭区,72.5,2,1,2,13,18,1,15,North,精装 (Fine),住宅 (Residential),龙湖 (Longfor),Line 6,299,A,13574,0.44,,4.67,10/2/2024,194,,36879,267.37
581,临安区,116.1,3,2,3,9,11,1,0,,豪华 (Luxury),住宅 (Residential),中海 (COHL),Line 16,3653,A,11495,0.44,1.29,6.2,6/10/2023,728,0,24470,284.1
582,滨江区,120.6,4,1,3,6,11,1,7,South,,住宅 (Residential),保利 (Poly),Line 3,1915,,1971,0.41,,4.13,8/24/2023,665,2,58803,709.16
583,滨江区,51.7,2,1,1,26,26,1,14,South,精装 (Fine),公寓 (Apartment),华润 (CR Land),Line 6,4076,,,0.37,,,6/5/2023,677,2,28997,149.91
584,临平区,135.9,3,1,2,10,26,1,15,South,,住宅 (Residential),保利 (Poly),Line 6,4401,B,15591,0.26,1.13,3.77,10/13/2023,596,0,23541,319.92
585,富阳区,66.9,1,1,1,16,18,1,16,Southwest,毛坯 (Rough),公寓 (Apartment),龙湖 (Longfor),,4527,C,10544,0.4,0.51,,5/28/2023,753,,11690,78.21
586,西湖区,152.9,5,1,4,8,11,1,5,Northwest,豪华 (Luxury),住宅 (Residential),龙湖 (Longfor),Line 2,1160,,15914,0.36,,,2/7/2023,824,2,77126,1179.26
587,临安区,100.8,2,1,2,6,6,1,0,Southeast,精装 (Fine),住宅 (Residential),华润 (CR Land),Line 7,1285,,9482,0.29,,7.98,3/21/2023,789,0,23503,236.91
588,上城区,127.9,4,1,4,6,26,1,4,Southwest,精装 (Fine),住宅 (Residential),本地开发商 (Local),Line 19,245,,16142,0.37,0.84,2.87,10/29/2023,605,0,54551,697.71
589,余杭区,62,1,2,1,6,18,1,2,,简装 (Simple),住宅 (Residential),,Line 7,175,C,22103,,,,5/19/2023,703,1,27989,173.53
590,钱塘区,141.3,5,1,4,5,18,1,13,South,精装 (Fine),住宅 (Residential),,,128,C,6127,0.43,1.34,7.24,8/20/2023,633,1,28844,407.57
591,滨江区,100.7,3,1,2,28,33,1,13,Southeast,精装 (Fine),住宅 (Residential),绿城 (Greentown),Line 4,1139,C,9741,0.38,0.62,4.64,4/15/2023,732,2,49994,503.44
592,临安区,131.9,4,2,3,9,18,1,,South,简装 (Simple),住宅 (Residential),,Line 16,1147,,6851,0.27,1.22,2.52,1/1/2023,861,0,21348,281.58
593,上城区,111.2,3,1,2,28,33,1,23,West,精装 (Fine),住宅 (Residential),滨江 (Binjiang),Line 5,588,A,25247,0.33,1.26,,8/8/2023,622,,57124,635.22
594,萧山区,95.3,3,2,2,29,33,1,9,West,毛坯 (Rough),住宅 (Residential),龙湖 (Longfor),Line 16,3011,C,29171,0.37,,2.11,7/27/2024,271,0,30843,293.93
595,拱墅区,121.7,3,2,3,13,33,1,14,West,简装 (Simple),别墅 (Villa),中海 (COHL),Line 7,358,B,2516,0.33,1.19,3.74,2/14/2023,865,2,74362,904.99
596,萧山区,120.9,4,2,4,2,33,1,34,Southeast,豪华 (Luxury),公寓 (Apartment),本地开发商 (Local),,,C,21986,0.25,0.59,,6/6/2023,754,2,21348,258.1
597,拱墅区,35.6,2,1,2,8,33,1,4,,简装 (Simple),住宅 (Residential),万科 (Vanke),Line 9,317,A,14114,,,5.19,12/27/2024,115,,48698,173.36
598,临安区,154,4,2,3,1,18,1,,Northwest,精装 (Fine),公寓 (Apartment),万科 (Vanke),Line 6,2660,C,2381,0.38,1.41,2.86,6/1/2024,355,0,20632,317.73
599,上城区,74.4,3,1,3,4,26,1,12,South,毛坯 (Rough),公寓 (Apartment),绿城 (Greentown),Line 9,3460,C,14979,0.4,,5.81,1/11/2023,837,1,36268,269.83
600,钱塘区,111.8,3,1,2,8,26,1,10,Northeast,简装 (Simple),住宅 (Residential),滨江 (Binjiang),Line 10,,,15137,0.43,0.7,5.49,7/12/2023,662,3,22738,254.21
601,拱墅区,87.9,3,3,2,15,18,1,11,Southeast,精装 (Fine),公寓 (Apartment),万科 (Vanke),Line 7,1417,B,10437,,0.75,3.61,8/4/2023,694,1,41425,364.13
602,萧山区,133.1,3,1,2,17,26,1,14,North,简装 (Simple),别墅 (Villa),融创 (Sunac),Line 16,297,C,5731,0.31,0.79,4.1,11/27/2023,537,1,49734,661.96
603,临安区,95,2,2,1,4,18,1,15,Southwest,毛坯 (Rough),别墅 (Villa),滨江 (Binjiang),Line 19,359,C,9882,0.42,1.18,2.71,9/23/2024,247,1,24180,229.71
604,临平区,124.2,3,2,2,8,18,1,9,,豪华 (Luxury),公寓 (Apartment),,Line 5,1359,C,3017,0.42,0.74,4.2,8/14/2024,280,1,26723,331.9
605,拱墅区,81.4,2,1,2,13,33,1,,South,毛坯 (Rough),公寓 (Apartment),绿城 (Greentown),Line 9,334,C,14833,,1.23,4.44,11/5/2024,164,0,51762,421.34
606,拱墅区,119.9,3,1,3,2,6,1,18,South,,住宅 (Residential),融创 (Sunac),Line 16,265,C,16884,0.43,1.34,4.56,1/21/2024,494,2,34177,409.78
607,西湖区,44.2,1,1,1,5,18,1,6,Southwest,精装 (Fine),住宅 (Residential),华润 (CR Land),Line 5,304,C,,,1.41,,7/2/2023,668,0,47993,212.13
608,余杭区,50.3,2,1,2,5,6,1,16,,简装 (Simple),公寓 (Apartment),龙湖 (Longfor),Line 10,333,B,8992,0.33,0.79,,2/5/2023,818,,25177,126.64
609,临平区,29.2,1,1,1,17,18,1,32,,豪华 (Luxury),住宅 (Residential),滨江 (Binjiang),Line 6,245,C,9769,0.4,0.83,5.47,5/12/2024,406,,21568,62.98
610,临平区,43.6,1,1,1,4,6,1,14,Southeast,简装 (Simple),住宅 (Residential),保利 (Poly),Line 9,1982,C,4230,,,5.21,1/28/2024,514,0,20637,89.98
611,上城区,75.8,2,1,2,17,33,1,4,,毛坯 (Rough),住宅 (Residential),,Line 19,3928,C,2495,,1.08,2.94,12/12/2023,561,0,56904,431.33
612,上城区,124,4,1,3,6,11,1,12,Northeast,精装 (Fine),住宅 (Residential),绿城 (Greentown),Line 6,314,A,6109,0.36,0.55,1.52,5/20/2024,370,3,73408,910.26
613,余杭区,122.7,3,3,2,8,26,1,,,简装 (Simple),住宅 (Residential),中海 (COHL),,,,22150,0.44,,7.05,6/8/2024,306,0,27369,335.82
614,萧山区,108,3,1,3,6,6,1,9,North,简装 (Simple),住宅 (Residential),融创 (Sunac),,2401,C,3438,,1.39,1.81,1/19/2024,510,1,39119,422.49
615,临平区,163.5,4,1,3,6,26,1,5,East,精装 (Fine),住宅 (Residential),龙湖 (Longfor),Line 10,657,,27810,0.31,,1.91,10/12/2024,210,0,32125,525.24
616,滨江区,74,2,1,2,3,18,1,25,Southwest,精装 (Fine),住宅 (Residential),融创 (Sunac),Line 16,689,C,27139,0.45,1.4,,6/5/2023,724,3,32525,240.69
617,钱塘区,117.5,3,1,2,22,26,1,9,Southeast,,住宅 (Residential),本地开发商 (Local),Line 6,1798,C,1060,0.4,1.23,6.11,4/7/2024,444,1,34854,409.53
618,拱墅区,74.2,2,2,1,6,11,1,14,,,住宅 (Residential),融创 (Sunac),Line 6,3198,,8557,0.42,,,2/10/2024,442,0,31457,233.41
619,西湖区,62.5,1,1,1,3,11,1,30,North,,住宅 (Residential),本地开发商 (Local),,,C,7760,0.32,1.49,2.16,10/10/2024,253,0,25192,157.45
620,富阳区,72.3,3,1,2,7,11,1,12,North,简装 (Simple),住宅 (Residential),保利 (Poly),Line 6,2764,C,,0.31,1.3,,1/28/2024,502,2,16974,122.72
621,临平区,64.2,1,1,1,20,26,1,3,West,毛坯 (Rough),住宅 (Residential),绿城 (Greentown),Line 9,1382,A,17238,0.41,0.85,,1/24/2023,873,3,32047,205.74
622,临平区,79.5,2,1,1,11,33,1,6,North,毛坯 (Rough),住宅 (Residential),万科 (Vanke),Line 16,109,C,25551,0.44,1.39,2.16,3/30/2024,396,2,25378,201.76
623,钱塘区,122.1,3,1,2,10,11,1,26,South,精装 (Fine),公寓 (Apartment),龙湖 (Longfor),Line 19,,B,11055,0.43,1.15,6.53,3/3/2024,426,3,21461,262.04
624,富阳区,56.4,1,1,1,21,26,1,,Northwest,豪华 (Luxury),公寓 (Apartment),万科 (Vanke),,1015,,2475,0.3,,2.86,3/26/2024,424,2,22601,127.47
625,西湖区,76.7,2,1,2,4,18,1,23,Southeast,,住宅 (Residential),华润 (CR Land),Line 5,2346,A,3782,0.35,,2.42,9/24/2023,597,0,44024,337.66
626,钱塘区,85.9,3,1,3,9,18,1,5,North,精装 (Fine),住宅 (Residential),,Line 9,2591,A,4941,,1.09,7.84,5/1/2024,390,2,39015,335.14
627,拱墅区,126.7,4,2,4,5,26,1,34,Southwest,毛坯 (Rough),住宅 (Residential),保利 (Poly),Line 19,334,B,,0.43,,4.28,5/3/2024,411,,34502,437.14
628,余杭区,112.6,4,2,4,17,26,1,10,Southeast,简装 (Simple),别墅 (Villa),万科 (Vanke),Line 5,3145,C,9979,,0.74,2.62,8/18/2023,610,0,40611,457.28
